,x,y,label,state
1692,13.452277217230712,-7.511160496952993,5,CA
1693,17.855019617700073,17.360624897121028,2,CA
1696,4.471838310434451,-3.249173769149321,6,NV
1715,-2.490255544995177,12.02075506505578,2,CA
1717,-2.3928834157883294,10.462563851082935,2,CA
1722,-3.1252978552112802,-0.670927490633668,5,CA
1741,5.712647765926766,-5.734948203338555,4,CA
1753,3.30295487821859,2.15700170868337,3,CA
1757,16.123122727165647,17.11294147753436,2,CA
1776,-3.7975993713364438,-0.5494445393181517,6,NV
1778,-7.929543909815729,1.433850144615134,1,CA
1792,-2.1624779850162006,-3.1594880908574785,6,NC
1800,8.55341260672361,7.63777237417103,2,CA
1801,1.492310553193708,-4.209924362553276,7,CA
1802,-0.0560278394795783,5.886662784771571,3,NM
1806,7.314970858000542,-6.725679393580794,7,NC
1819,-3.262232197975629,1.915414975474919,5,NM
1821,13.347508566456762,16.345083588124282,2,CA
1823,-1.8082584522683411,2.8497849198397187,5,NM
1824,0.0019779197302060175,-1.6753742718849065,1,CA
1827,0.2744875581484908,-4.771021766572004,7,CA
1829,-4.32900632932264,1.7777796114332538,1,NM
1833,5.292345007889216,18.59955602495085,2,AR
1838,0.1053274888145086,-2.5237030612552873,1,NC
1839,1.5494125648637933,14.50851385285322,2,CA
1840,7.638278764952526,14.123471217496428,2,CA
1841,2.221611616257846,-0.07604593170144527,4,CA
1845,4.833514881959221,1.4391824023379576,3,NC
1861,6.279584727694381,8.628911372295294,2,CA
1869,3.6090310647325157,3.8634458848211066,4,CA
1873,1.678968710848187,-3.42493177122737,4,NV
1892,8.582550062041276,15.936876159656533,2,CA
1903,-6.085135423753436,9.858044735516488,1,CA
1908,5.475769038530862,-4.1965529867008815,1,NM
1912,4.574177648206249,-3.6607129368471307,4,CA
1924,4.25585399369073,-4.312346556747332,1,NM
1938,9.67153719924916,5.944200497739582,2,CA
1952,-2.0298784837085755,3.0087651343601114,3,CA
1953,-1.7822125754702678,4.017049213927417,3,CA
1955,-0.24544350064270282,-2.7570835374816864,4,CA
1963,4.978892246399718,-2.5565427957091456,4,NC
1967,0.49526210664181186,3.945042795570138,3,CA
